word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
bitter_adj	cooc		1508	no	no	no	yes	no	yes		CATEGORY|pungent
brennend_adj	cooc		1701	no	no	no	no	yes	yes		CATEGORY|smoky|toasted|burnt|fatty
dicht_adj	cooc		1645	no	no	no	yes	yes	no		CATEGORY|woody/earthy/mouldy
eitrig_adj	cooc		1772	no	no	no	yes	yes	yes		CATEGORY|pungent
energisch_adj	cooc		1508	no	no	no	yes	yes	yes		CATEGORY|pungent
erfreulich_adj	cooc		1508	no	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
fauliger_adj	cooc		1770	no	no	no	yes	yes	yes		CATEGORY|decayed
fein_adj	cooc		1508	no	no	no	no	yes	yes		CATEGORY|Fragrant|fruity|floral
frisch_adj	cooc		1508	no	no	no	yes	yes	yes		CATEGORY|fresh
frischer_adj	cooc		1508	no	no	no	no	yes	yes		CATEGORY|fresh
gut_adj	cooc		1508	no	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
herrlich_adj	cooc		1525	yes	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
himmlisch_adj	cooc		1659	no	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
lieblich_adj	cooc		1525	no	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
ruhig_adj	cooc		1528	no	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
scharf_adj	cooc		1508	no	no	no	no	yes	yes		CATEGORY|pungent
schneidend_adj	cooc		1628	no	no	no	yes	yes	yes		CATEGORY|pungent
schoen_adj	cooc		1525	no	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
seltsam_adj	cooc		1528	no	no	no	yes	yes	yes		CATEGORY|pungent
sinnlich_adj	cooc		1508	no	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
stark_adj	cooc		1508	no	no	yes	yes	yes	yes		CATEGORY|pungent
stechend_adj	cooc		1740	no	no	no	yes	yes	yes		CATEGORY|pungent
trocken_adj	cooc		1659	no	no	no	yes	yes	no		CATEGORY|woody/earthy/mouldy
unangenehm_adj	cooc		1508	no	no	no	yes	yes	yes		CATEGORY|pungent
widerlich_adj	cooc		1745	no	no	no	yes	yes	yes		CATEGORY|decayed
wild_adj	cooc		1659	no	no	yes	yes	yes	yes		CATEGORY|woody/earthy/mouldy
sensorisches Attribut_noun	WordNetExpansion	s14262									
Modergeruch_noun	WordNetExpansion	s146554								CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Kellergeruch_noun	WordNetExpansion	s151654									
Wohlgeruch_noun	WordNetExpansion	s113551									
Odeur_noun	WordNetExpansion	s113551									
Gasgeruch_noun	WordNetExpansion	s136168								CATEGORY|emissions_traffic|fuel|dust	
Aasgeruch_noun	WordNetExpansion	s146559								CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Ausdünstung_noun	WordNetExpansion	s83055									
Seegeruch_noun	WordNetExpansion	s154610								CATEGORY|nature_flowers|plant|tree|soil	
Verwesungsgeruch_noun	WordNetExpansion	s149552								CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Leichengeruch_noun	WordNetExpansion	s149552								CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Chlorgeruch_noun	WordNetExpansion	s146566								CATEGORY|cleaning|medicinal	
Tabakgeruch_noun	WordNetExpansion	s154611								CATEGORY|tobacco|smoke	
Benzingeruch_noun	WordNetExpansion	s149056								CATEGORY|emissions_traffic|fuel|dust	
Stallgeruch_noun	WordNetExpansion	s151481								CATEGORY|animal|people	
Duftgemisch_noun	WordNetExpansion	s158113									
