word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality	
pin_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
pins_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
pipe_noun	cooc		1599	no	no	no	yes	yes	yes	CATEGORY|tobacco|smoke		
piquant_adj	cooc		1553	no	no	yes	yes	yes	yes		CATEGORY|sweet|spicy	
plaie_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
plaine_noun	cooc		1547	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
plante_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
plomb_noun	cooc		1547	no	no	yes	yes	yes	yes	CATEGORY|industry		
pluvieux_adj	cooc		1558	no	no	no	yes	yes	yes		CATEGORY|woody/earthy/mouldy	manual
poires_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		
poison_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
poisseuse_noun	cooc		1773	no	no	no	no	no	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
poisson_noun	cooc		1547	no	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
poivre_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		
poix_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|industry		manual
pollen_noun	cooc		1603	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
pollution_noun	cooc		1623	no	no	no	no	no	yes	CATEGORY|emissions_traffic|fuel|dust		
pommade_noun	cooc		1658	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
pomme_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
poudre_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		
poule_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|animal|people		manual
pourri_adj	cooc		1572	no	no	yes	yes	yes	yes		CATEGORY|decayed	
pourrie_adj	cooc		1626	no	no	yes	yes	yes	yes		CATEGORY|decayed	manual
pourriture_noun	cooc		1575	yes	yes	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
pourtour_noun	cooc		1634	no	no	yes	yes	yes	yes	CATEGORY|industry		manual
