word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
acquire_verb	cooc		1524	no	yes	yes	yes	yes	yes
acquired_adj	cooc		1581	no	no	yes	yes	yes	yes
acquisition_noun	cooc		1524	no	no	yes	yes	yes	yes
acquit_verb	cooc		1566	no	no	yes	yes	yes	yes
acquittal_noun	cooc		1578	no	no	no	yes	yes	yes
acrasia_noun	cooc		1744	no	no	yes	yes	yes	yes
acre_noun	cooc		1524	no	yes	yes	yes	yes	yes
acrid_adj	cooc	['pungent.s.01']	1610	no	yes	yes	yes	yes	yes		CATEGORY|pungent
acrimonious_adj	cooc		1644	no	no	no	yes	yes	yes
acrimony_noun	cooc		1568	yes	no	no	yes	yes	yes
acropolita_noun	cooc		1692	no	no	yes	yes	yes	yes
acrostic_noun	cooc		1547	no	no	yes	yes	yes	yes
act_noun	cooc		1524	yes	yes	yes	yes	yes	yes
act_verb	cooc		1524	no	yes	yes	yes	yes	yes
action_noun	cooc		1524	yes	yes	yes	yes	yes	yes
active_adj	cooc		1524	no	yes	yes	yes	yes	yes
activity_noun	cooc		1524	no	no	yes	yes	yes	yes
acton_noun	cooc		1547	no	no	no	yes	yes	yes
actor_noun	cooc		1524	no	no	yes	yes	yes	yes
actress_noun	cooc		1533	no	no	no	yes	yes	yes
acts_noun	cooc		1524	no	yes	yes	yes	yes	yes
actual_adj	cooc		1524	yes	yes	yes	yes	yes	yes
actuality_noun	cooc		1550	no	no	no	no	no	yes
actually_adv	cooc		1524	yes	yes	yes	yes	yes	yes
actuated_verb	cooc		1524	no	no	yes	yes	yes	yes
acute_adj	cooc		1564	yes	yes	yes	yes	yes	yes
acuteness_noun	cooc		1586	no	no	yes	yes	yes	yes
acuter_verb	cooc		1658	yes	no	no	yes	yes	yes
adam_noun	cooc		1524	no	no	yes	yes	yes	yes
adamant_adj	cooc		1586	no	no	no	yes	yes	yes
adamantine_adj	cooc		1581	no	no	no	yes	yes	yes
adams_noun	cooc		1524	no	no	no	yes	yes	yes
adapt_verb	cooc		1562	no	yes	yes	yes	yes	yes
adaptability_noun	cooc		1574	no	no	no	no	yes	yes
adaptable_adj	cooc		1716	no	no	no	no	no	yes
adaptation_noun	cooc		1550	no	no	no	yes	yes	yes
add_verb	cooc		1524	yes	yes	yes	yes	yes	yes
adde_verb	cooc		1533	no	no	yes	no	yes	yes
added_adj	cooc		1562	no	no	no	no	yes	yes
adder_noun	cooc		1565	no	no	yes	yes	yes	yes
addeth_verb	cooc		1533	yes	yes	yes	yes	yes	yes
addicted_verb	cooc		1562	no	no	yes	yes	yes	no
addition_noun	cooc		1524	yes	yes	yes	yes	yes	yes
additional_adj	cooc		1524	no	no	yes	yes	yes	yes
addled_adj	cooc		1710	no	no	yes	yes	yes	yes
addles_verb	cooc		1725	no	no	no	yes	yes	yes
address_noun	cooc		1524	no	no	yes	yes	yes	yes
address_verb	cooc		1524	no	no	yes	yes	yes	yes
addrest_verb	cooc		1567	no	no	yes	yes	yes	yes
adeline_noun	cooc		1600	no	no	no	yes	yes	yes
adequacy_noun	cooc		1723	no	no	no	yes	no	yes
adequate_adj	cooc		1524	no	yes	yes	yes	yes	yes
adequately_adv	cooc		1550	no	no	yes	yes	yes	yes
adhere_verb	cooc		1550	no	yes	yes	yes	yes	yes
adherent_noun	cooc		1590	no	no	no	yes	yes	yes
adhesive_adj	cooc		1671	no	no	no	no	yes	yes
adieu_adv	cooc		1588	no	yes	yes	yes	yes	yes
adieu_noun	cooc		1562	no	no	yes	yes	yes	yes
adieu_verb	cooc		1566	no	yes	yes	yes	yes	yes
adjacent_adj	cooc		1524	no	no	yes	yes	yes	yes
adjective_noun	cooc		1550	no	no	no	yes	yes	yes
adjunct_noun	cooc		1574	no	no	yes	yes	yes	yes
adjust_verb	cooc		1586	no	yes	yes	yes	yes	yes
adjustment_noun	cooc		1524	no	yes	yes	yes	yes	yes
adjutant_noun	cooc		1524	no	no	no	yes	yes	yes
admetus_noun	cooc		1567	no	no	yes	yes	yes	yes
administer_verb	cooc		1524	no	no	yes	yes	yes	yes
administration_noun	cooc		1524	yes	yes	yes	yes	yes	yes
administrative_adj	cooc		1524	no	no	no	yes	yes	yes
admirable_adj	cooc		1524	no	yes	yes	yes	yes	yes
admirably_adv	cooc		1524	no	no	yes	yes	yes	yes
admiral_noun	cooc		1524	no	no	no	no	yes	yes
admiration_noun	cooc		1524	no	yes	yes	yes	yes	yes
admire_verb	cooc		1524	yes	yes	yes	yes	yes	yes
admirer_noun	cooc		1586	no	no	no	yes	yes	yes
admission_noun	cooc		1524	no	no	no	yes	yes	yes
admit_verb	cooc		1524	no	yes	yes	yes	yes	yes
admittance_noun	cooc		1581	no	no	yes	yes	yes	yes
admixture_noun	cooc		1524	no	no	no	yes	yes	yes
admonish_verb	cooc		1547	no	no	no	yes	yes	yes
adonais_noun	cooc		1756	no	no	no	yes	yes	yes
adonis_noun	cooc		1533	no	no	no	yes	yes	yes
adopt_verb	cooc		1524	no	yes	yes	yes	yes	yes
adoration_noun	cooc		1533	no	no	yes	yes	no	no
adore_verb	cooc		1547	yes	yes	yes	yes	yes	yes
adoring_adj	cooc		1646	no	no	no	yes	yes	yes
adorn_verb	cooc		1533	yes	yes	yes	yes	yes	yes
adornd_verb	cooc		1599	no	no	no	yes	yes	yes
adornes_verb	cooc		1591	no	no	no	yes	yes	yes
adorning_noun	cooc		1533	no	no	no	yes	yes	yes
adornment_noun	cooc		1564	no	no	no	yes	yes	yes
adrenal_adj	cooc		1806	no	no	no	no	no	yes
adrenalin_noun	cooc		1859	no	no	no	no	no	yes
adrenaline_noun	cooc		1893	no	no	no	no	no	yes
adrian_noun	cooc		1564	no	no	yes	yes	yes	yes
adrian_verb	cooc		1602	no	no	yes	yes	yes	yes
adriana_noun	cooc		1598	no	no	no	yes	yes	yes
adrift_adv	cooc		1587	no	yes	yes	yes	yes	yes
adulation_noun	cooc		1589	no	no	yes	yes	yes	yes
adult_adj	cooc		1584	no	no	no	no	yes	yes
adulterate_adj	cooc		1596	no	no	yes	yes	yes	yes
adulterate_noun	cooc		1613	no	no	no	yes	yes	yes
adulterate_verb	cooc		1588	no	no	yes	yes	yes	yes
adulteress_noun	cooc		1594	no	yes	yes	yes	yes	yes
adulterous_adj	cooc		1566	no	yes	yes	yes	yes	yes
adultery_noun	cooc		1533	no	no	no	yes	yes	yes
adust_adj	cooc		1586	no	no	no	yes	yes	yes
advancd_noun	cooc		1688	no	yes	yes	yes	yes	no
advance_noun	cooc		1524	no	no	no	no	yes	yes
advance_verb	cooc		1524	no	yes	yes	yes	yes	yes
advanced_adj	cooc		1524	no	yes	no	yes	yes	yes
advanced_verb	cooc		1524	no	no	no	yes	yes	yes
advancement_noun	cooc		1524	no	no	no	yes	yes	yes
advances_noun	cooc		1524	no	no	no	yes	yes	yes
advanct_noun	cooc		1649	no	no	no	no	yes	yes
advantage_noun	cooc		1524	no	yes	yes	yes	yes	yes
advantage_verb	cooc		1581	no	no	yes	yes	yes	yes
advantageous_adj	cooc		1524	no	no	no	yes	yes	yes
advent_noun	cooc		1524	no	no	no	yes	yes	yes
adventitious_adj	cooc		1574	no	no	yes	yes	no	no
adventive_adj	cooc		1635	no	no	no	yes	yes	yes
adventure_noun	cooc		1524	no	yes	yes	yes	yes	yes
adventurer_noun	cooc		1584	no	no	no	yes	yes	yes
adverb_noun	cooc		1578	no	no	no	no	yes	yes
adversary_noun	cooc		1547	no	yes	yes	yes	yes	yes
adverse_adj	cooc		1564	no	yes	yes	yes	yes	yes
adversity_noun	cooc		1581	no	yes	yes	yes	yes	yes
advertise_verb	cooc		1524	no	no	no	no	yes	yes
advice_noun	cooc		1524	no	no	yes	yes	yes	yes
advisable_adj	cooc		1524	no	no	yes	yes	yes	yes
advisd_verb	cooc		1655	no	no	yes	yes	yes	yes
advise_verb	cooc		1524	yes	yes	yes	yes	yes	yes
advocate_noun	cooc		1524	no	no	yes	yes	yes	yes
ae_verb	cooc		1547	no	no	yes	yes	yes	yes
aerial_adj	cooc		1574	no	no	no	yes	yes	yes
aesthetic_adj	cooc		1550	no	no	no	no	yes	yes
afar_adj	cooc		1602	no	no	yes	yes	yes	yes
afar_adv	cooc		1593	no	yes	yes	yes	yes	yes
affability_noun	cooc		1564	no	no	yes	yes	yes	yes
affable_adj	cooc		1524	yes	yes	yes	yes	yes	yes
affair_noun	cooc		1524	yes	yes	yes	yes	yes	yes
affeccioun_noun	cooc		1744	no	no	no	yes	yes	yes
affect_verb	cooc		1533	yes	yes	yes	yes	yes	yes
affectation_noun	cooc		1565	no	no	yes	yes	yes	yes
affectation_verb	cooc		1658	no	no	no	yes	yes	yes
affected_adj	cooc		1550	no	no	yes	yes	yes	yes
affected_verb	cooc		1524	no	yes	yes	yes	yes	yes
affection_noun	cooc		1524	yes	yes	yes	yes	yes	yes
affectionate_adj	cooc		1524	yes	yes	yes	yes	yes	yes
affectionately_adv	cooc		1579	no	no	no	yes	yes	yes
affiance_noun	cooc		1562	no	yes	yes	yes	yes	yes
affinity_noun	cooc		1524	no	no	yes	yes	yes	yes
affirm_verb	cooc		1524	no	no	yes	yes	yes	yes
affirmeth_verb	cooc		1565	no	no	yes	yes	yes	yes
affix_verb	cooc		1564	no	no	yes	yes	yes	yes
afflict_verb	cooc		1567	no	yes	yes	yes	yes	yes
afflicted_adj	cooc		1565	no	yes	yes	yes	yes	yes
affliction_noun	cooc		1533	yes	yes	yes	yes	yes	yes
affluence_noun	cooc		1581	no	no	yes	yes	yes	yes
affluent_adj	cooc		1596	no	no	yes	yes	yes	yes
afford_verb	cooc		1524	yes	yes	yes	yes	yes	yes
